YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_centroid_x,body_centroid_y,tail_centroid_x,tail_centroid_y,head_centroid_x,head_centroid_y,body_contour_area,error,execution_time,frame_width,frame_height
2020,12,31,18,9,56,219345,None,None,None,None,None,None,None,True,0.006434202194213867,424,472
2020,12,31,18,9,56,226632,382,313,0,0,372,336,0.0036801447073872722,False,0.0072519779205322266,424,472
2020,12,31,18,9,56,234286,381,320,0,0,372,348,0.004049908058842341,False,0.007632017135620117,424,472
2020,12,31,18,9,56,241845,380,329,0,0,368,356,0.004097377678285897,False,0.007529735565185547,424,472
2020,12,31,18,9,56,249141,377,337,0,0,364,361,0.003717620722737448,False,0.0072710514068603516,424,472
2020,12,31,18,9,56,257139,373,344,0,0,358,365,0.0036476654940837865,False,0.00797271728515625,424,472
2020,12,31,18,9,56,264995,369,348,0,0,361,367,0.003620183082826991,False,0.007830619812011719,424,472
2020,12,31,18,9,56,272695,367,353,0,0,356,369,0.003720119123760793,False,0.007677793502807617,424,472
2020,12,31,18,9,56,280011,364,357,384,343,340,366,0.0034677806204029423,False,0.0072896480560302734,424,472
2020,12,31,18,9,56,287518,358,360,377,351,336,367,0.0029256275983370644,False,0.00748133659362793,424,472
2020,12,31,18,9,56,295364,351,362,371,356,327,366,0.0029406180044771347,False,0.007821321487426758,424,472
2020,12,31,18,9,56,302806,346,364,0,0,368,361,0.0030280620402942117,False,0.007416486740112305,424,472
2020,12,31,18,9,56,310195,341,365,0,0,364,364,0.0029306244003837545,False,0.007365226745605469,424,472
2020,12,31,18,9,56,317625,336,364,356,365,312,360,0.002918132395267029,False,0.007403135299682617,424,472
2020,12,31,18,9,56,324990,334,363,353,366,312,360,0.002820694755356572,False,0.007343292236328125,424,472
2020,12,31,18,9,56,332145,334,363,350,369,311,356,0.002898145187080269,False,0.007128715515136719,424,472
2020,12,31,18,9,56,339879,333,362,352,366,311,357,0.0029281259993604093,False,0.00771331787109375,424,472
2020,12,31,18,9,56,346954,332,362,351,366,310,358,0.0029331228014070993,False,0.007044553756713867,424,472
2020,12,31,18,9,56,354526,333,362,351,364,312,362,0.002830688359449952,False,0.0075414180755615234,424,472
2020,12,31,18,9,56,361796,333,362,349,366,311,364,0.0028181963543332266,False,0.0072405338287353516,424,472
